Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5887.123,2993.354,1648.504,12980.57,5230.579
CEC22_F1,NWOA-NM,300.0001,5.536088e-05,300.0,300.0002,300.0001
CEC22_F1,NWOA-HC,300.0002,0.0001369658,300.0,300.0007,300.0001
CEC22_F1,NWOA-PS,300.0002,0.0001764626,300.0,300.001,300.0002
CEC22_F1,NWOA-SA,300.0003,0.000219537,300.0,300.001,300.0002
CEC22_F2,NWOA,599.7856,266.3712,438.7348,1947.894,530.392
CEC22_F2,NWOA-NM,401.7878,2.675931,400.0,408.9161,400.0642
CEC22_F2,NWOA-HC,409.2944,19.86318,400.0,470.7812,400.2672
CEC22_F2,NWOA-PS,407.9458,17.7531,400.0001,471.2419,400.3455
CEC22_F2,NWOA-SA,403.0418,3.282106,400.0,408.9162,401.9769
CEC22_F3,NWOA,600.0771,0.04911916,600.0129,600.1998,600.0633
CEC22_F3,NWOA-NM,600.0,2.418697e-09,600.0,600.0,600.0
CEC22_F3,NWOA-HC,600.0,2.346466e-09,600.0,600.0,600.0
CEC22_F3,NWOA-PS,600.0,2.913738e-09,600.0,600.0,600.0
CEC22_F3,NWOA-SA,600.0,2.614605e-09,600.0,600.0,600.0
CEC22_F4,NWOA,875.8016,23.94121,840.0,934.5167,876.0098
CEC22_F4,NWOA-NM,825.4679,8.82303,812.0016,848.0011,822.0001
CEC22_F4,NWOA-HC,824.8676,8.077164,812.0002,846.0,824.0015
CEC22_F4,NWOA-PS,827.6915,9.850556,812.0016,854.0,826.0013
CEC22_F4,NWOA-SA,821.4277,8.17573,804.3208,840.0,821.0018
CEC22_F5,NWOA,901.7318,1.122107,900.2766,904.5747,901.5297
CEC22_F5,NWOA-NM,900.3281,0.6442803,900.0,902.8544,900.0008
CEC22_F5,NWOA-HC,900.1994,0.3458049,900.0,901.363,900.0
CEC22_F5,NWOA-PS,900.2829,0.5743733,900.0,902.3577,900.0001
CEC22_F5,NWOA-SA,900.1285,0.2125213,900.0,900.6621,900.0007
CEC22_F6,NWOA,45752.14,22001.02,10497.83,89595.35,42295.02
CEC22_F6,NWOA-NM,5289.052,4811.047,1842.419,26451.77,3878.856
CEC22_F6,NWOA-HC,4881.194,3903.711,1825.208,16085.09,2964.842
CEC22_F6,NWOA-PS,2188.901,751.7122,1809.838,4559.646,1827.009
CEC22_F6,NWOA-SA,3401.802,1968.963,1823.4,8439.415,2531.875
CEC22_F7,NWOA,2191.52,154.6781,2037.04,2720.404,2118.557
CEC22_F7,NWOA-NM,2026.762,6.029295,2003.607,2038.166,2026.131
CEC22_F7,NWOA-HC,2030.63,9.526819,2024.487,2068.899,2027.04
CEC22_F7,NWOA-PS,2030.448,6.251467,2022.53,2053.34,2030.422
CEC22_F7,NWOA-SA,2033.661,7.826189,2025.355,2070.62,2031.938
CEC22_F8,NWOA,3814.439,1515.319,2262.064,8836.383,3452.013
CEC22_F8,NWOA-NM,2225.88,5.019302,2211.688,2242.608,2225.474
CEC22_F8,NWOA-HC,2228.146,18.12879,2211.964,2323.798,2225.424
CEC22_F8,NWOA-PS,2220.931,6.657827,2206.74,2235.177,2224.205
CEC22_F8,NWOA-SA,2226.932,5.908821,2211.866,2254.474,2226.755
CEC22_F9,NWOA,2811.901,185.5666,2339.692,3245.803,2780.848
CEC22_F9,NWOA-NM,2467.983,179.5185,2300.005,2666.555,2300.279
CEC22_F9,NWOA-HC,2473.691,186.7825,2300.006,2745.605,2300.109
CEC22_F9,NWOA-PS,2531.212,175.5651,2300.006,2745.605,2659.101
CEC22_F9,NWOA-SA,2339.254,107.0464,2300.005,2659.735,2300.025
CEC22_F10,NWOA,2447.134,612.0387,462.9877,3219.049,2661.939
CEC22_F10,NWOA-NM,1536.674,875.3113,-289.4422,2724.834,1207.028
CEC22_F10,NWOA-HC,1175.977,951.1475,-170.0402,2732.64,846.373
CEC22_F10,NWOA-PS,1172.879,749.4944,-537.8259,2422.823,1213.862
CEC22_F10,NWOA-SA,1380.06,757.4449,-419.6183,2718.986,1239.098
CEC22_F11,NWOA,2943.042,460.3768,2621.144,4138.15,2681.829
CEC22_F11,NWOA-NM,2629.134,156.8525,2600.002,3473.811,2600.005
CEC22_F11,NWOA-HC,2628.528,153.602,2600.001,3455.7,2600.005
CEC22_F11,NWOA-PS,2600.006,0.003323146,2600.003,2600.018,2600.006
CEC22_F11,NWOA-SA,2628.16,151.1051,2600.002,3441.882,2600.006
CEC22_F12,NWOA,2918.095,65.17939,2815.24,3147.648,2900.208
CEC22_F12,NWOA-NM,2840.967,54.22657,2604.891,2904.516,2853.632
CEC22_F12,NWOA-HC,2830.738,54.71566,2654.163,2892.143,2850.451
CEC22_F12,NWOA-PS,2858.828,39.37373,2800.61,3044.929,2854.817
CEC22_F12,NWOA-SA,2847.661,17.53964,2783.74,2860.759,2854.066
