Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F5,NWOA,9.080962e+02,2.962017e+00,9.036265e+02,9.143506e+02,9.073028e+02
CEC22_F5,NWOA-NM,9.031909e+02,1.803812e+00,9.004564e+02,9.071553e+02,9.029473e+02
CEC22_F5,NWOA-HC,9.030036e+02,1.591949e+00,9.004544e+02,9.073622e+02,9.026784e+02
CEC22_F5,NWOA-PS,9.033215e+02,2.309073e+00,9.004288e+02,9.091633e+02,9.025376e+02
CEC22_F5,NWOA-SA,9.028614e+02,1.934452e+00,9.001305e+02,9.084716e+02,9.022223e+02
CEC22_F6,NWOA,5.923319e+08,7.593259e+08,4.899713e+07,3.889637e+09,3.293468e+08
CEC22_F6,NWOA-NM,4.089989e+04,1.132141e+04,2.402267e+04,6.116412e+04,3.942753e+04
CEC22_F6,NWOA-HC,4.104729e+04,1.643844e+04,1.901998e+04,7.085329e+04,3.872202e+04
CEC22_F6,NWOA-PS,3.925028e+04,1.775666e+04,1.352427e+04,9.129638e+04,3.335956e+04
CEC22_F6,NWOA-SA,4.163885e+04,1.598166e+04,1.701829e+04,8.091763e+04,3.949550e+04
