Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F8,NWOA,9.532770e+05,4.580202e+06,2.908010e+03,2.545377e+07,5.896061e+03
CEC22_F8,NWOA-NM,2.249040e+03,6.736514e+01,2.089676e+03,2.363394e+03,2.255331e+03
CEC22_F8,NWOA-HC,2.201599e+03,1.217957e+02,1.914533e+03,2.675599e+03,2.234325e+03
CEC22_F8,NWOA-PS,2.568212e+03,3.505668e+02,2.149470e+03,3.569622e+03,2.440758e+03
CEC22_F8,NWOA-SA,2.603320e+03,4.799126e+02,2.066859e+03,3.903369e+03,2.417618e+03
