Function,Algorithm,Iteration,Diversity
CEC22_F1,NWOA,113,1.1406477416850444e-07
CEC22_F1,NWOA,114,1.1358740626745789e-07
CEC22_F1,NWOA,115,1.0759017089230783e-07
CEC22_F1,NWOA,116,1.0582680605666058e-07
CEC22_F1,NWOA,117,1.0175218121365753e-07
CEC22_F1,NWOA,118,1.0162023737621975e-07
CEC22_F1,NWOA,119,1.0215805236023735e-07
CEC22_F1,NWOA,120,1.0168845363336221e-07
CEC22_F1,NWOA,121,1.001669124495817e-07
CEC22_F1,NWOA,122,9.945200699469009e-08
CEC22_F1,NWOA,123,9.800650091720937e-08
CEC22_F1,NWOA,124,9.6907710175487e-08
CEC22_F1,NWOA,125,9.657495898924402e-08
CEC22_F1,NWOA,126,9.618108577888246e-08
CEC22_F1,NWOA,127,9.604775892502786e-08
CEC22_F1,NWOA,128,9.560115854021808e-08
CEC22_F1,NWOA,129,9.559303000006393e-08
CEC22_F1,NWOA,130,9.550706186120924e-08
CEC22_F1,NWOA,131,9.53662232998953e-08
CEC22_F1,NWOA,132,9.531763815164272e-08
CEC22_F1,NWOA,133,9.443514924726241e-08
CEC22_F1,NWOA,134,9.44249403610331e-08
CEC22_F1,NWOA,135,9.434139427836635e-08
CEC22_F1,NWOA,136,9.425919526672631e-08
CEC22_F1,NWOA,137,9.400373748769023e-08
CEC22_F1,NWOA,138,9.400042523326898e-08
CEC22_F1,NWOA,139,9.387817349407757e-08
CEC22_F1,NWOA,140,9.384142823464593e-08
CEC22_F1,NWOA,141,9.380734053004694e-08
CEC22_F1,NWOA,142,9.375549409074985e-08
CEC22_F1,NWOA,143,9.375536328042593e-08
CEC22_F1,NWOA,144,9.374232806800006e-08
CEC22_F1,NWOA,145,9.374219214066912e-08
CEC22_F1,NWOA,146,9.373749274424198e-08
CEC22_F1,NWOA,147,9.372890714610764e-08
CEC22_F1,NWOA,148,9.372314528627333e-08
CEC22_F1,NWOA,149,9.372310030402109e-08
CEC22_F1,NWOA,150,9.372141794409975e-08
CEC22_F1,NWOA-NM,0,363.9271368001831
CEC22_F1,NWOA-NM,1,321.6282505566097
CEC22_F1,NWOA-NM,2,277.1221410181812
CEC22_F1,NWOA-NM,3,235.6682644511514
CEC22_F1,NWOA-NM,4,218.6887428841589
CEC22_F1,NWOA-NM,5,198.14483903781678
CEC22_F1,NWOA-NM,6,190.6198701413924
CEC22_F1,NWOA-NM,7,180.16920801953256
CEC22_F1,NWOA-NM,8,169.91290327799013
CEC22_F1,NWOA-NM,9,156.06413750062836
CEC22_F1,NWOA-NM,10,146.99146275596294
CEC22_F1,NWOA-NM,11,133.97861925884507
CEC22_F1,NWOA-NM,12,120.32651071379757
CEC22_F1,NWOA-NM,13,112.94960778225474
CEC22_F1,NWOA-NM,14,106.30036875881122
CEC22_F1,NWOA-NM,15,105.7507169111969
CEC22_F1,NWOA-NM,16,97.3104607687915
CEC22_F1,NWOA-NM,17,96.96437094104832
CEC22_F1,NWOA-NM,18,97.33565557538635
CEC22_F1,NWOA-NM,19,91.49371205700945
CEC22_F1,NWOA-NM,20,89.08834567652107
CEC22_F1,NWOA-NM,21,87.63379462167322
CEC22_F1,NWOA-NM,22,86.99993946961794
CEC22_F1,NWOA-NM,23,86.4504957983448
CEC22_F1,NWOA-NM,24,85.31036118066571
CEC22_F1,NWOA-NM,25,83.15537966596443
CEC22_F1,NWOA-NM,26,80.14024117814225
CEC22_F1,NWOA-NM,27,77.44876334182318
CEC22_F1,NWOA-NM,28,77.07040380551688
CEC22_F1,NWOA-NM,29,75.15553532472961
CEC22_F1,NWOA-NM,30,75.0240684099202
CEC22_F1,NWOA-NM,31,75.23545600124724
CEC22_F1,NWOA-NM,32,71.76155890741181
CEC22_F1,NWOA-NM,33,71.00112005609681
CEC22_F1,NWOA-NM,34,69.41865521494765
CEC22_F1,NWOA-NM,35,69.66829335985702
CEC22_F1,NWOA-NM,36,68.03220492789309
CEC22_F1,NWOA-NM,37,66.86473400136454
CEC22_F1,NWOA-NM,38,63.933804180258996
CEC22_F1,NWOA-NM,39,63.34075635734325
CEC22_F1,NWOA-NM,40,62.477655961166874
CEC22_F1,NWOA-NM,41,60.33106619884269
CEC22_F1,NWOA-NM,42,60.27196437383632
CEC22_F1,NWOA-NM,43,58.76616227153333
CEC22_F1,NWOA-NM,44,58.87115780057768
CEC22_F1,NWOA-NM,45,60.60404859912605
CEC22_F1,NWOA-NM,46,61.51025323818493
CEC22_F1,NWOA-NM,47,61.722426669377924
CEC22_F1,NWOA-NM,48,61.9176289885787
CEC22_F1,NWOA-NM,49,59.21050807933706
CEC22_F1,NWOA-NM,50,57.59827019174878
CEC22_F1,NWOA-NM,51,56.37389423927003
CEC22_F1,NWOA-NM,52,56.45372540370475
CEC22_F1,NWOA-NM,53,57.012050775469426
CEC22_F1,NWOA-NM,54,57.534171632438394
CEC22_F1,NWOA-NM,55,58.773925273512475
CEC22_F1,NWOA-NM,56,57.486804869949616
CEC22_F1,NWOA-NM,57,57.469021662261
CEC22_F1,NWOA-NM,58,58.665335690123456
CEC22_F1,NWOA-NM,59,59.369005714202515
CEC22_F1,NWOA-NM,60,59.41831853685661
CEC22_F1,NWOA-NM,61,58.77233442221537
CEC22_F1,NWOA-NM,62,58.27498340492006
CEC22_F1,NWOA-NM,63,58.59638122650553
CEC22_F1,NWOA-NM,64,58.340567264363564
CEC22_F1,NWOA-NM,65,56.95570684585298
CEC22_F1,NWOA-NM,66,57.19622888991994
CEC22_F1,NWOA-NM,67,57.823098968363716
CEC22_F1,NWOA-NM,68,57.69508818638288
CEC22_F1,NWOA-NM,69,57.33108453645762
CEC22_F1,NWOA-NM,70,57.183159243960446
CEC22_F1,NWOA-NM,71,55.85148905697139
CEC22_F1,NWOA-NM,72,55.36043141352377
CEC22_F1,NWOA-NM,73,54.88698274377756
CEC22_F1,NWOA-NM,74,54.312597570186405
CEC22_F1,NWOA-NM,75,53.30512222479215
CEC22_F1,NWOA-NM,76,52.568914216332
CEC22_F1,NWOA-NM,77,51.92817042600295
CEC22_F1,NWOA-NM,78,51.78700627024383
CEC22_F1,NWOA-NM,79,51.76867447902033
CEC22_F1,NWOA-NM,80,51.296646274810975
CEC22_F1,NWOA-NM,81,50.01232380967202
CEC22_F1,NWOA-NM,82,49.19933414708168
CEC22_F1,NWOA-NM,83,49.54083429983962
CEC22_F1,NWOA-NM,84,49.011435542037404
CEC22_F1,NWOA-NM,85,48.65651066680756
CEC22_F1,NWOA-NM,86,48.49931070855105
CEC22_F1,NWOA-NM,87,47.5957389191826
CEC22_F1,NWOA-NM,88,47.00197796214219
CEC22_F1,NWOA-NM,89,47.233250245994476
CEC22_F1,NWOA-NM,90,47.26197691139852
CEC22_F1,NWOA-NM,91,46.71673704357041
CEC22_F1,NWOA-NM,92,47.43629888451585
CEC22_F1,NWOA-NM,93,47.62629849111735
CEC22_F1,NWOA-NM,94,47.866489716440306
CEC22_F1,NWOA-NM,95,47.50416484301827
CEC22_F1,NWOA-NM,96,47.386849156632465
CEC22_F1,NWOA-NM,97,46.98696715268681
CEC22_F1,NWOA-NM,98,47.98224890815701
CEC22_F1,NWOA-NM,99,47.42652973699278
CEC22_F1,NWOA-NM,100,47.29975537610683
CEC22_F1,NWOA-NM,101,47.517811935757905
CEC22_F1,NWOA-NM,102,48.25339044136299
CEC22_F1,NWOA-NM,103,48.08018742557239
CEC22_F1,NWOA-NM,104,47.72125965204
CEC22_F1,NWOA-NM,105,47.49276114882957
CEC22_F1,NWOA-NM,106,46.93637226836039
CEC22_F1,NWOA-NM,107,46.848269135115686
CEC22_F1,NWOA-NM,108,46.62256074324745
CEC22_F1,NWOA-NM,109,46.273631607408106
