Function,Algorithm,Iteration,Diversity
CEC22_F1,NWOA,0,254.99644592999158
CEC22_F1,NWOA,1,216.62159355336917
CEC22_F1,NWOA,2,164.17474613632209
CEC22_F1,NWOA,3,123.42830636235605
CEC22_F1,NWOA,4,97.67966621073808
CEC22_F1,NWOA,5,70.25940363602362
CEC22_F1,NWOA,6,60.65489144428061
CEC22_F1,NWOA,7,46.587475928478526
CEC22_F1,NWOA,8,40.400994307784536
CEC22_F1,NWOA,9,34.01064214724714
CEC22_F1,NWOA,10,25.607461824949542
CEC22_F1,NWOA,11,20.89207431070654
CEC22_F1,NWOA,12,19.935465685225633
CEC22_F1,NWOA,13,19.44641000542199
CEC22_F1,NWOA,14,18.30688500359027
CEC22_F1,NWOA,15,17.21862518165301
CEC22_F1,NWOA,16,13.916473654736029
CEC22_F1,NWOA,17,10.936834415497056
CEC22_F1,NWOA,18,9.653062784868917
CEC22_F1,NWOA,19,9.477018979779164
CEC22_F1,NWOA,20,8.522315158432608
CEC22_F1,NWOA,21,7.1885985240504215
CEC22_F1,NWOA,22,6.300919973518718
CEC22_F1,NWOA,23,6.1211722480704776
CEC22_F1,NWOA,24,4.587867800653369
CEC22_F1,NWOA,25,3.721558978988495
CEC22_F1,NWOA,26,3.5133436756703267
CEC22_F1,NWOA,27,3.0912282694882034
CEC22_F1,NWOA,28,2.7337360846539718
CEC22_F1,NWOA,29,2.3513289646287
CEC22_F1,NWOA,30,3.3376989823351266
CEC22_F1,NWOA,31,3.347256251436094
CEC22_F1,NWOA,32,3.219844878968717
CEC22_F1,NWOA,33,2.7448321248857086
CEC22_F1,NWOA,34,2.803764144354515
CEC22_F1,NWOA,35,2.1662090388322968
CEC22_F1,NWOA,36,2.284009200931483
CEC22_F1,NWOA,37,2.6090636375215928
CEC22_F1,NWOA,38,1.8085051161316081
CEC22_F1,NWOA,39,1.4581522435796648
CEC22_F1,NWOA,40,1.0960033703125125
CEC22_F1,NWOA,41,0.9502202378437623
CEC22_F1,NWOA,42,0.8158482366607578
CEC22_F1,NWOA,43,1.0313338552147555
CEC22_F1,NWOA,44,1.0887451374990718
CEC22_F1,NWOA,45,1.1551605066682162
CEC22_F1,NWOA,46,1.2759686465849962
CEC22_F1,NWOA,47,0.9994254197854872
CEC22_F1,NWOA,48,0.7035596773773459
CEC22_F1,NWOA,49,0.32976860504958516
CEC22_F1,NWOA,50,0.2763647861482143
CEC22_F1,NWOA,51,0.2246521570135808
CEC22_F1,NWOA,52,0.22270187733447488
CEC22_F1,NWOA,53,0.22127298324966937
CEC22_F1,NWOA,54,0.24092720640923102
CEC22_F1,NWOA,55,0.22939469381841024
CEC22_F1,NWOA,56,0.1627447812415744
CEC22_F1,NWOA,57,0.13698842310036494
CEC22_F1,NWOA,58,0.0916133828208872
CEC22_F1,NWOA,59,0.06723834332304679
CEC22_F1,NWOA,60,0.04130666323390319
CEC22_F1,NWOA,61,0.03584264840243429
CEC22_F1,NWOA,62,0.027354843459644125
CEC22_F1,NWOA,63,0.01952365133439046
CEC22_F1,NWOA,64,0.016529137738861603
CEC22_F1,NWOA,65,0.01526219794183922
CEC22_F1,NWOA,66,0.010321030794656648
CEC22_F1,NWOA,67,0.006410944873755273
CEC22_F1,NWOA,68,0.005015134551015017
CEC22_F1,NWOA,69,0.003260050881332522
CEC22_F1,NWOA,70,0.002449356592006814
CEC22_F1,NWOA,71,0.0020665154586255218
CEC22_F1,NWOA,72,0.0017742970420643565
CEC22_F1,NWOA,73,0.0008869507037296226
CEC22_F1,NWOA,74,0.000638869962459557
CEC22_F1,NWOA,75,0.0005014200602408787
CEC22_F1,NWOA,76,0.0003602227460448173
CEC22_F1,NWOA,77,0.0001973058412278001
CEC22_F1,NWOA,78,0.00015083689293702722
CEC22_F1,NWOA,79,0.00011646352230516247
CEC22_F1,NWOA,80,0.00010087826940582197
CEC22_F1,NWOA,81,7.401755012106945e-05
CEC22_F1,NWOA,82,2.8100695334976306e-05
CEC22_F1,NWOA,83,2.195164480819174e-05
CEC22_F1,NWOA,84,1.3373988389671078e-05
CEC22_F1,NWOA,85,1.081218798334436e-05
CEC22_F1,NWOA,86,7.523735606295753e-06
CEC22_F1,NWOA,87,4.955644151555573e-06
CEC22_F1,NWOA,88,4.577914753492639e-06
CEC22_F1,NWOA,89,3.705363442019531e-06
CEC22_F1,NWOA,90,2.6101081232282412e-06
CEC22_F1,NWOA,91,1.581280941292191e-06
CEC22_F1,NWOA,92,1.2775709614933608e-06
CEC22_F1,NWOA,93,7.50727694250055e-07
CEC22_F1,NWOA,94,5.754200456164381e-07
CEC22_F1,NWOA,95,4.6880708066390995e-07
CEC22_F1,NWOA,96,2.552109037787627e-07
CEC22_F1,NWOA,97,2.376282034057969e-07
CEC22_F1,NWOA,98,1.98715206063614e-07
CEC22_F1,NWOA,99,1.1499457662032342e-07
CEC22_F1,NWOA,100,1.0500756854801089e-07
CEC22_F1,NWOA,101,8.512351333285767e-08
CEC22_F1,NWOA,102,7.158270718934419e-08
CEC22_F1,NWOA,103,5.600017538690698e-08
CEC22_F1,NWOA,104,5.3051300640989595e-08
CEC22_F1,NWOA,105,3.649275616031055e-08
CEC22_F1,NWOA,106,2.5955484951755818e-08
CEC22_F1,NWOA,107,1.8335552537527296e-08
CEC22_F1,NWOA,108,1.507984555102778e-08
CEC22_F1,NWOA,109,1.3341164136016413e-08
CEC22_F1,NWOA,110,1.0126968571365228e-08
CEC22_F1,NWOA,111,7.201276565481787e-09
CEC22_F1,NWOA,112,5.545939588716978e-09
CEC22_F1,NWOA,113,4.521328409624347e-09
CEC22_F1,NWOA,114,3.4590587780113335e-09
CEC22_F1,NWOA,115,3.013447339688392e-09
CEC22_F1,NWOA,116,2.195977495317546e-09
CEC22_F1,NWOA,117,1.899227678748562e-09
CEC22_F1,NWOA,118,1.6915279068586967e-09
CEC22_F1,NWOA,119,1.538161354733068e-09
CEC22_F1,NWOA,120,1.2036089610709491e-09
CEC22_F1,NWOA,121,9.584086119301408e-10
CEC22_F1,NWOA,122,8.444934199712726e-10
CEC22_F1,NWOA,123,7.858070199891337e-10
CEC22_F1,NWOA,124,7.48989943213788e-10
CEC22_F1,NWOA,125,6.550876412113602e-10
CEC22_F1,NWOA,126,5.559979229896424e-10
CEC22_F1,NWOA,127,5.062538122690257e-10
CEC22_F1,NWOA,128,4.348321133275682e-10
CEC22_F1,NWOA,129,3.8873297553184444e-10
CEC22_F1,NWOA,130,3.453525909515181e-10
CEC22_F1,NWOA,131,3.1671076883626173e-10
CEC22_F1,NWOA,132,2.825898774878549e-10
CEC22_F1,NWOA,133,2.635160852672436e-10
CEC22_F1,NWOA,134,2.5668131851047144e-10
CEC22_F1,NWOA,135,2.380260072500719e-10
CEC22_F1,NWOA,136,2.1884435571515614e-10
CEC22_F1,NWOA,137,2.0449447309916422e-10
CEC22_F1,NWOA,138,1.9320224111507443e-10
CEC22_F1,NWOA,139,1.8289582298965288e-10
CEC22_F1,NWOA,140,1.721373167751611e-10
CEC22_F1,NWOA,141,1.6327987063902974e-10
CEC22_F1,NWOA,142,1.546384070262462e-10
CEC22_F1,NWOA,143,1.495650152807737e-10
CEC22_F1,NWOA,144,1.430413514330707e-10
CEC22_F1,NWOA,145,1.403195074964556e-10
CEC22_F1,NWOA,146,1.3720848225913353e-10
CEC22_F1,NWOA,147,1.3455844192921815e-10
CEC22_F1,NWOA,148,1.3348524132288993e-10
CEC22_F1,NWOA,149,1.3269052686532257e-10
CEC22_F1,NWOA,150,1.3245861516258613e-10
CEC22_F1,NWOA-NM,0,254.99644592999158
CEC22_F1,NWOA-NM,1,229.7422629094662
CEC22_F1,NWOA-NM,2,204.0356362644329
CEC22_F1,NWOA-NM,3,180.32945083298299
CEC22_F1,NWOA-NM,4,151.41406336954475
CEC22_F1,NWOA-NM,5,135.89471161673129
CEC22_F1,NWOA-NM,6,122.60308685412251
CEC22_F1,NWOA-NM,7,114.7795245075973
CEC22_F1,NWOA-NM,8,100.4590397097983
CEC22_F1,NWOA-NM,9,93.97528902576276
CEC22_F1,NWOA-NM,10,86.60787625292399
CEC22_F1,NWOA-NM,11,79.91099817172889
CEC22_F1,NWOA-NM,12,77.01334123369756
CEC22_F1,NWOA-NM,13,72.08025945815115
CEC22_F1,NWOA-NM,14,69.84837716650262
CEC22_F1,NWOA-NM,15,64.4424473504712
CEC22_F1,NWOA-NM,16,61.93478632930852
CEC22_F1,NWOA-NM,17,60.793431761892975
CEC22_F1,NWOA-NM,18,61.703594170790254
CEC22_F1,NWOA-NM,19,60.336493205337696
CEC22_F1,NWOA-NM,20,61.286577528512325
CEC22_F1,NWOA-NM,21,58.68528914512699
CEC22_F1,NWOA-NM,22,55.11767320781058
CEC22_F1,NWOA-NM,23,54.119267726840164
CEC22_F1,NWOA-NM,24,52.679838008333476
CEC22_F1,NWOA-NM,25,51.57980937977065
CEC22_F1,NWOA-NM,26,50.97422748866391
CEC22_F1,NWOA-NM,27,50.331701646806216
CEC22_F1,NWOA-NM,28,50.38647089013855
CEC22_F1,NWOA-NM,29,49.21903294658923
CEC22_F1,NWOA-NM,30,49.038933013969384
