Function,Algorithm,Iteration,ExplorationRatio
CEC22_F1,NWOA,0,0.09333333333333334
CEC22_F1,NWOA,1,0.24
CEC22_F1,NWOA,2,0.39333333333333337
CEC22_F1,NWOA,3,0.49333333333333335
CEC22_F1,NWOA,4,0.36666666666666664
CEC22_F1,NWOA,5,0.36
CEC22_F1,NWOA,6,0.4533333333333333
CEC22_F1,NWOA,7,0.37333333333333335
CEC22_F1,NWOA,8,0.54
CEC22_F1,NWOA,9,0.26666666666666666
CEC22_F1,NWOA,10,0.5466666666666666
CEC22_F1,NWOA,11,0.44666666666666666
CEC22_F1,NWOA,12,0.42000000000000004
CEC22_F1,NWOA,13,0.44000000000000006
CEC22_F1,NWOA,14,0.3
CEC22_F1,NWOA,15,0.38
CEC22_F1,NWOA,16,0.48666666666666664
CEC22_F1,NWOA,17,0.7
CEC22_F1,NWOA,18,0.38666666666666666
CEC22_F1,NWOA,19,0.39999999999999997
CEC22_F1,NWOA,20,0.33333333333333337
CEC22_F1,NWOA,21,0.4333333333333334
CEC22_F1,NWOA,22,0.22666666666666666
CEC22_F1,NWOA,23,0.5133333333333334
CEC22_F1,NWOA,24,0.36
CEC22_F1,NWOA,25,0.34
CEC22_F1,NWOA,26,0.5933333333333334
CEC22_F1,NWOA,27,0.4999999999999999
CEC22_F1,NWOA,28,0.5333333333333333
CEC22_F1,NWOA,29,0.4533333333333333
CEC22_F1,NWOA,30,0.26666666666666666
CEC22_F1,NWOA,31,0.47333333333333333
CEC22_F1,NWOA,32,0.45999999999999996
CEC22_F1,NWOA,33,0.4533333333333333
CEC22_F1,NWOA,34,0.45999999999999996
CEC22_F1,NWOA,35,0.47333333333333333
CEC22_F1,NWOA,36,0.7066666666666667
CEC22_F1,NWOA,37,0.33333333333333337
CEC22_F1,NWOA,38,0.42666666666666664
CEC22_F1,NWOA,39,0.3333333333333333
CEC22_F1,NWOA,40,0.6200000000000001
CEC22_F1,NWOA,41,0.54
CEC22_F1,NWOA,42,0.62
CEC22_F1,NWOA,43,0.5599999999999999
CEC22_F1,NWOA,44,0.56
CEC22_F1,NWOA,45,0.4333333333333333
CEC22_F1,NWOA,46,0.4533333333333333
CEC22_F1,NWOA,47,0.54
CEC22_F1,NWOA,48,0.36666666666666664
CEC22_F1,NWOA,49,0.4
CEC22_F1,NWOA,50,0.5599999999999999
CEC22_F1,NWOA,51,0.5266666666666667
CEC22_F1,NWOA,52,0.5199999999999999
CEC22_F1,NWOA,53,0.2733333333333333
CEC22_F1,NWOA,54,0.5533333333333333
CEC22_F1,NWOA,55,0.52
CEC22_F1,NWOA,56,0.54
CEC22_F1,NWOA,57,0.7133333333333334
CEC22_F1,NWOA,58,0.5733333333333334
CEC22_F1,NWOA,59,0.5399999999999999
CEC22_F1,NWOA,60,0.5333333333333333
CEC22_F1,NWOA,61,0.48
CEC22_F1,NWOA,62,0.5
CEC22_F1,NWOA,63,0.5599999999999999
CEC22_F1,NWOA,64,0.5
CEC22_F1,NWOA,65,0.5399999999999999
CEC22_F1,NWOA,66,0.35333333333333333
CEC22_F1,NWOA,67,0.5066666666666667
CEC22_F1,NWOA,68,0.4066666666666666
CEC22_F1,NWOA,69,0.44666666666666666
CEC22_F1,NWOA,70,0.25999999999999995
CEC22_F1,NWOA,71,0.20666666666666664
CEC22_F1,NWOA,72,0.3666666666666667
CEC22_F1,NWOA,73,0.31333333333333335
CEC22_F1,NWOA,74,0.2733333333333333
CEC22_F1,NWOA,75,0.0
CEC22_F1,NWOA,76,0.0
CEC22_F1,NWOA,77,0.0
CEC22_F1,NWOA,78,0.0
CEC22_F1,NWOA,79,0.0
CEC22_F1,NWOA,80,0.0
CEC22_F1,NWOA,81,0.0
CEC22_F1,NWOA,82,0.0
CEC22_F1,NWOA,83,0.0
CEC22_F1,NWOA,84,0.08666666666666667
CEC22_F1,NWOA,85,0.19333333333333333
CEC22_F1,NWOA,86,0.013333333333333332
CEC22_F1,NWOA,87,0.1
CEC22_F1,NWOA,88,0.10666666666666666
CEC22_F1,NWOA,89,0.06666666666666667
CEC22_F1,NWOA,90,0.0
CEC22_F1,NWOA,91,0.0
CEC22_F1,NWOA,92,0.006666666666666666
CEC22_F1,NWOA,93,0.0
CEC22_F1,NWOA,94,0.013333333333333332
CEC22_F1,NWOA,95,0.039999999999999994
CEC22_F1,NWOA,96,0.08666666666666667
CEC22_F1,NWOA,97,0.013333333333333332
CEC22_F1,NWOA,98,0.0
CEC22_F1,NWOA,99,0.006666666666666666
CEC22_F1,NWOA,100,0.0
CEC22_F1,NWOA,101,0.0
CEC22_F1,NWOA,102,0.006666666666666666
CEC22_F1,NWOA,103,0.0
CEC22_F1,NWOA,104,0.006666666666666666
CEC22_F1,NWOA,105,0.0
CEC22_F1,NWOA,106,0.006666666666666666
CEC22_F1,NWOA,107,0.0
CEC22_F1,NWOA,108,0.006666666666666666
CEC22_F1,NWOA,109,0.013333333333333332
CEC22_F1,NWOA,110,0.006666666666666666
CEC22_F1,NWOA,111,0.026666666666666665
CEC22_F1,NWOA,112,0.006666666666666666
CEC22_F1,NWOA,113,0.006666666666666666
CEC22_F1,NWOA,114,0.02
CEC22_F1,NWOA,115,0.0
CEC22_F1,NWOA,116,0.0
CEC22_F1,NWOA,117,0.0
CEC22_F1,NWOA,118,0.013333333333333332
CEC22_F1,NWOA,119,0.006666666666666666
CEC22_F1,NWOA,120,0.013333333333333332
CEC22_F1,NWOA,121,0.006666666666666666
CEC22_F1,NWOA,122,0.006666666666666666
CEC22_F1,NWOA,123,0.006666666666666666
CEC22_F1,NWOA,124,0.0
CEC22_F1,NWOA,125,0.0
CEC22_F1,NWOA,126,0.0
CEC22_F1,NWOA,127,0.006666666666666666
CEC22_F1,NWOA,128,0.006666666666666666
CEC22_F1,NWOA,129,0.006666666666666666
CEC22_F1,NWOA,130,0.0
CEC22_F1,NWOA,131,0.0
CEC22_F1,NWOA,132,0.006666666666666666
CEC22_F1,NWOA,133,0.02
CEC22_F1,NWOA,134,0.0
CEC22_F1,NWOA,135,0.0
CEC22_F1,NWOA,136,0.0
CEC22_F1,NWOA,137,0.02
CEC22_F1,NWOA,138,0.013333333333333332
CEC22_F1,NWOA,139,0.0
CEC22_F1,NWOA,140,0.0
CEC22_F1,NWOA,141,0.0
CEC22_F1,NWOA,142,0.0
CEC22_F1,NWOA,143,0.02
CEC22_F1,NWOA,144,0.0
CEC22_F1,NWOA,145,0.0
CEC22_F1,NWOA,146,0.0
CEC22_F1,NWOA,147,0.006666666666666666
CEC22_F1,NWOA,148,0.0
CEC22_F1,NWOA,149,0.013333333333333332
CEC22_F1,NWOA-NM,0,0.09333333333333334
CEC22_F1,NWOA-NM,1,0.2866666666666666
CEC22_F1,NWOA-NM,2,0.2866666666666666
CEC22_F1,NWOA-NM,3,0.25333333333333335
CEC22_F1,NWOA-NM,4,0.3
CEC22_F1,NWOA-NM,5,0.2533333333333333
CEC22_F1,NWOA-NM,6,0.4066666666666666
CEC22_F1,NWOA-NM,7,0.3
CEC22_F1,NWOA-NM,8,0.48666666666666664
CEC22_F1,NWOA-NM,9,0.5
CEC22_F1,NWOA-NM,10,0.19999999999999998
CEC22_F1,NWOA-NM,11,0.40666666666666673
CEC22_F1,NWOA-NM,12,0.56
CEC22_F1,NWOA-NM,13,0.35333333333333333
CEC22_F1,NWOA-NM,14,0.36
CEC22_F1,NWOA-NM,15,0.33333333333333337
CEC22_F1,NWOA-NM,16,0.28666666666666674
CEC22_F1,NWOA-NM,17,0.41999999999999993
CEC22_F1,NWOA-NM,18,0.2266666666666667
CEC22_F1,NWOA-NM,19,0.5733333333333334
CEC22_F1,NWOA-NM,20,0.2266666666666667
CEC22_F1,NWOA-NM,21,0.2066666666666667
CEC22_F1,NWOA-NM,22,0.14666666666666667
CEC22_F1,NWOA-NM,23,0.18666666666666668
CEC22_F1,NWOA-NM,24,0.18
CEC22_F1,NWOA-NM,25,0.15999999999999998
CEC22_F1,NWOA-NM,26,0.039999999999999994
CEC22_F1,NWOA-NM,27,0.38
CEC22_F1,NWOA-NM,28,0.36
CEC22_F1,NWOA-NM,29,0.5666666666666667
CEC22_F1,NWOA-NM,30,0.13999999999999999
CEC22_F1,NWOA-NM,31,0.2866666666666667
CEC22_F1,NWOA-NM,32,0.06
CEC22_F1,NWOA-NM,33,0.15333333333333332
CEC22_F1,NWOA-NM,34,0.22000000000000003
CEC22_F1,NWOA-NM,35,0.03333333333333334
CEC22_F1,NWOA-NM,36,0.3466666666666667
CEC22_F1,NWOA-NM,37,0.04666666666666667
CEC22_F1,NWOA-NM,38,0.18666666666666668
CEC22_F1,NWOA-NM,39,0.5933333333333334
CEC22_F1,NWOA-NM,40,0.39333333333333337
CEC22_F1,NWOA-NM,41,0.33333333333333337
CEC22_F1,NWOA-NM,42,0.3
CEC22_F1,NWOA-NM,43,0.013333333333333332
CEC22_F1,NWOA-NM,44,0.38
CEC22_F1,NWOA-NM,45,0.04
CEC22_F1,NWOA-NM,46,0.12
CEC22_F1,NWOA-NM,47,0.26666666666666666
CEC22_F1,NWOA-NM,48,0.039999999999999994
CEC22_F1,NWOA-NM,49,0.62
CEC22_F1,NWOA-NM,50,0.02
CEC22_F1,NWOA-NM,51,0.2866666666666666
CEC22_F1,NWOA-NM,52,0.04
CEC22_F1,NWOA-NM,53,0.38666666666666666
CEC22_F1,NWOA-NM,54,0.32666666666666666
CEC22_F1,NWOA-NM,55,0.10666666666666666
CEC22_F1,NWOA-NM,56,0.5666666666666667
CEC22_F1,NWOA-NM,57,0.38
CEC22_F1,NWOA-NM,58,0.02
CEC22_F1,NWOA-NM,59,0.4666666666666667
CEC22_F1,NWOA-NM,60,0.013333333333333332
CEC22_F1,NWOA-NM,61,0.02
CEC22_F1,NWOA-NM,62,0.19333333333333333
CEC22_F1,NWOA-NM,63,0.12666666666666665
CEC22_F1,NWOA-NM,64,0.2666666666666667
CEC22_F1,NWOA-NM,65,0.026666666666666665
CEC22_F1,NWOA-NM,66,0.37333333333333335
CEC22_F1,NWOA-NM,67,0.17333333333333334
CEC22_F1,NWOA-NM,68,0.2066666666666667
CEC22_F1,NWOA-NM,69,0.4
CEC22_F1,NWOA-NM,70,0.16666666666666666
CEC22_F1,NWOA-NM,71,0.12666666666666665
CEC22_F1,NWOA-NM,72,0.3
CEC22_F1,NWOA-NM,73,0.08
CEC22_F1,NWOA-NM,74,0.013333333333333332
CEC22_F1,NWOA-NM,75,0.18666666666666668
CEC22_F1,NWOA-NM,76,0.03333333333333333
CEC22_F1,NWOA-NM,77,0.02
CEC22_F1,NWOA-NM,78,0.006666666666666666
CEC22_F1,NWOA-NM,79,0.5733333333333334
CEC22_F1,NWOA-NM,80,0.06666666666666667
CEC22_F1,NWOA-NM,81,0.0
CEC22_F1,NWOA-NM,82,0.21333333333333337
CEC22_F1,NWOA-NM,83,0.2
CEC22_F1,NWOA-NM,84,0.02
CEC22_F1,NWOA-NM,85,0.02
CEC22_F1,NWOA-NM,86,0.013333333333333332
CEC22_F1,NWOA-NM,87,0.10666666666666666
CEC22_F1,NWOA-NM,88,0.013333333333333332
CEC22_F1,NWOA-NM,89,0.8066666666666666
CEC22_F1,NWOA-NM,90,0.02
CEC22_F1,NWOA-NM,91,0.32
CEC22_F1,NWOA-NM,92,0.13333333333333333
CEC22_F1,NWOA-NM,93,0.04666666666666667
CEC22_F1,NWOA-NM,94,0.013333333333333332
CEC22_F1,NWOA-NM,95,0.18
CEC22_F1,NWOA-NM,96,0.3666666666666667
CEC22_F1,NWOA-NM,97,0.15333333333333332
CEC22_F1,NWOA-NM,98,0.013333333333333332
CEC22_F1,NWOA-NM,99,0.4533333333333333
CEC22_F1,NWOA-NM,100,0.18666666666666668
CEC22_F1,NWOA-NM,101,0.02
CEC22_F1,NWOA-NM,102,0.02
CEC22_F1,NWOA-NM,103,0.013333333333333332
CEC22_F1,NWOA-NM,104,0.14666666666666667
CEC22_F1,NWOA-NM,105,0.0
CEC22_F1,NWOA-NM,106,0.18
CEC22_F1,NWOA-NM,107,0.24666666666666667
CEC22_F1,NWOA-NM,108,0.11333333333333333
CEC22_F1,NWOA-NM,109,0.6266666666666666
CEC22_F1,NWOA-NM,110,0.02
CEC22_F1,NWOA-NM,111,0.02
CEC22_F1,NWOA-NM,112,0.19333333333333333
CEC22_F1,NWOA-NM,113,0.013333333333333332
CEC22_F1,NWOA-NM,114,0.026666666666666665
CEC22_F1,NWOA-NM,115,0.0
CEC22_F1,NWOA-NM,116,0.013333333333333332
CEC22_F1,NWOA-NM,117,0.013333333333333332
CEC22_F1,NWOA-NM,118,0.02
CEC22_F1,NWOA-NM,119,0.7333333333333333
CEC22_F1,NWOA-NM,120,0.006666666666666666
CEC22_F1,NWOA-NM,121,0.02
CEC22_F1,NWOA-NM,122,0.37333333333333335
CEC22_F1,NWOA-NM,123,0.0
CEC22_F1,NWOA-NM,124,0.02
CEC22_F1,NWOA-NM,125,0.026666666666666665
CEC22_F1,NWOA-NM,126,0.02
CEC22_F1,NWOA-NM,127,0.006666666666666666
CEC22_F1,NWOA-NM,128,0.006666666666666666
CEC22_F1,NWOA-NM,129,0.49333333333333335
CEC22_F1,NWOA-NM,130,0.07333333333333333
CEC22_F1,NWOA-NM,131,0.0
CEC22_F1,NWOA-NM,132,0.02
CEC22_F1,NWOA-NM,133,0.006666666666666666
CEC22_F1,NWOA-NM,134,0.18666666666666668
CEC22_F1,NWOA-NM,135,0.18
CEC22_F1,NWOA-NM,136,0.013333333333333332
CEC22_F1,NWOA-NM,137,0.039999999999999994
CEC22_F1,NWOA-NM,138,0.18
CEC22_F1,NWOA-NM,139,0.6133333333333334
CEC22_F1,NWOA-NM,140,0.006666666666666666
CEC22_F1,NWOA-NM,141,0.006666666666666666
CEC22_F1,NWOA-NM,142,0.013333333333333332
CEC22_F1,NWOA-NM,143,0.16
CEC22_F1,NWOA-NM,144,0.03333333333333333
CEC22_F1,NWOA-NM,145,0.006666666666666666
CEC22_F1,NWOA-NM,146,0.17333333333333334
CEC22_F1,NWOA-NM,147,0.02
CEC22_F1,NWOA-NM,148,0.33333333333333337
CEC22_F1,NWOA-NM,149,0.5666666666666667
CEC22_F1,NWOA-HC,0,0.09333333333333334
CEC22_F1,NWOA-HC,1,0.2866666666666666
CEC22_F1,NWOA-HC,2,0.2866666666666666
CEC22_F1,NWOA-HC,3,0.25333333333333335
CEC22_F1,NWOA-HC,4,0.3
CEC22_F1,NWOA-HC,5,0.2533333333333333
CEC22_F1,NWOA-HC,6,0.4066666666666666
CEC22_F1,NWOA-HC,7,0.3
CEC22_F1,NWOA-HC,8,0.48666666666666664
CEC22_F1,NWOA-HC,9,0.7466666666666667
CEC22_F1,NWOA-HC,10,0.29333333333333333
CEC22_F1,NWOA-HC,11,0.33999999999999997
CEC22_F1,NWOA-HC,12,0.22000000000000003
CEC22_F1,NWOA-HC,13,0.22000000000000003
CEC22_F1,NWOA-HC,14,0.013333333333333332
CEC22_F1,NWOA-HC,15,0.38666666666666666
CEC22_F1,NWOA-HC,16,0.13999999999999999
