Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F7,NWOA,4.345308e+03,1.220779e+03,2.643035e+03,7.355615e+03,4.126623e+03
CEC22_F7,NWOA-NM,1.998001e+03,9.310944e+01,1.874765e+03,2.159368e+03,2.015455e+03
CEC22_F7,NWOA-HC,2.038218e+03,1.111786e+02,1.880679e+03,2.397770e+03,2.048189e+03
CEC22_F7,NWOA-PS,2.010631e+03,8.238531e+01,1.880043e+03,2.118724e+03,2.055627e+03
CEC22_F7,NWOA-SA,2.006777e+03,8.709658e+01,1.877042e+03,2.130571e+03,2.049063e+03
CEC22_F9,NWOA,3.934553e+03,9.336514e+02,2.832000e+03,6.188439e+03,3.565803e+03
CEC22_F9,NWOA-NM,2.627221e+03,6.076577e+01,2.300583e+03,2.653951e+03,2.637404e+03
CEC22_F9,NWOA-HC,2.637511e+03,1.567418e+00,2.635746e+03,2.643306e+03,2.637340e+03
CEC22_F9,NWOA-PS,2.637937e+03,1.921049e+00,2.635734e+03,2.643153e+03,2.637282e+03
CEC22_F9,NWOA-SA,2.648553e+03,1.006213e+01,2.636739e+03,2.676190e+03,2.645968e+03
