Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F11,NWOA,5.177755e+03,2.156210e+03,2.830076e+03,1.187273e+04,4.485626e+03
CEC22_F11,NWOA-NM,2.600827e+03,3.356358e+00,2.600062e+03,2.618816e+03,2.600137e+03
CEC22_F11,NWOA-HC,2.600056e+03,5.530612e-02,2.600019e+03,2.600308e+03,2.600039e+03
CEC22_F11,NWOA-PS,2.600392e+03,3.879970e-01,2.600119e+03,2.602172e+03,2.600259e+03
CEC22_F11,NWOA-SA,2.600671e+03,5.497443e-01,2.600179e+03,2.602277e+03,2.600454e+03
CEC22_F12,NWOA,3.430791e+03,3.019592e+02,3.061166e+03,4.303970e+03,3.373976e+03
CEC22_F12,NWOA-NM,2.979049e+03,3.381970e+01,2.916801e+03,3.069947e+03,2.980442e+03
CEC22_F12,NWOA-HC,2.973638e+03,3.453975e+01,2.919356e+03,3.050905e+03,2.968971e+03
CEC22_F12,NWOA-PS,2.984563e+03,3.808657e+01,2.937054e+03,3.098482e+03,2.980134e+03
CEC22_F12,NWOA-SA,2.963533e+03,2.625219e+01,2.922827e+03,3.023883e+03,2.958468e+03
