algorithm,function,mean,std,median,min,max
NWOA,F1,204426562.30944958,165880647.51833576,194164312.69633755,1306701.9528660087,700265913.7335978
NWOA,F10,1011.1213363123646,9.131438116040435,1014.5431459000978,1000.2998927190508,1019.9999999619781
NWOA,F11,8595.705437774603,6586.311931353404,6030.236198204846,1430.8944639492574,28979.013069386652
NWOA,F12,1371.0062542200421,191.0035762616565,1286.324218119888,1206.490099507485,1816.9825716622681
NWOA,F13,153401.82911246136,293947.62868167314,44852.89098272113,3736.952079606836,1466825.5560007577
NWOA,F14,1523.999544726054,130.65085522805896,1490.072741570437,1421.885784422697,2127.129884214356
NWOA,F15,14756.772327862887,8680.75758315999,13058.878611644399,2940.7256327150353,34316.65375598542
NWOA,F16,5414.0519485984305,3504.231453841181,4702.710338111789,1943.2947924549271,16307.23249945078
NWOA,F17,15754.564940632063,11152.833597984212,10964.538572561252,4785.383524984166,45602.4446040638
NWOA,F18,5383.5257370633,4271.281571850806,3970.524024938585,2015.5587409164982,18886.757053063375
NWOA,F19,11127.141377070528,6449.930601397132,10254.782802578902,2799.8091240293834,32433.44249892024
NWOA,F2,1156.1953273622598,688.8202033695197,986.0353117381999,369.8755251070525,3463.6905850935677
NWOA,F20,2186.035092921356,102.72133160464618,2162.887327120944,2049.793923430752,2522.616113545152
NWOA,F21,2820.7217189148855,2.655423540964468,2820.681096732933,2814.7408538844766,2825.632252148204
NWOA,F22,3639.002277249088,606.5732050672489,3497.476010414437,3027.3074045850603,5525.278902808809
NWOA,F23,31741.880438848246,1326.6012823804017,31615.549282649292,29387.055238129527,35025.039233557094
NWOA,F24,3522.5909870875603,180.47416466010532,3473.8337291481225,3292.985086189544,3948.7385078378607
NWOA,F25,932249.5946891755,2051928.3305861135,111047.88627717702,7691.260703395429,8941935.740524005
NWOA,F26,3770991.7879161444,5912384.091465309,1488551.9022759316,89735.677843452,28734900.72743801
NWOA,F27,477730.9902273648,756765.4459261678,102661.85713021804,4125.2688161466485,3414725.409290107
NWOA,F28,77116.68390309482,1260.5705621860388,76946.41185320124,74788.39535146623,80667.21955844223
NWOA,F29,3670.4009345375025,52.33879214525011,3697.691792228885,3574.664825707073,3703.3592299594425
NWOA,F3,4436958.153356421,11775835.536650095,1386606.9914304977,3721.8122575499247,65406285.66384501
NWOA,F30,1268470.0783145581,2560706.45247653,477444.1460206164,4458.280357590349,13853557.258532213
NWOA,F4,962.9402711473607,308.5734351654185,910.4537392767274,539.9198501612523,1884.3119874846388
NWOA,F5,503.43723699165434,0.3413964257166744,503.4044983147085,502.8515490248664,504.0121250455005
NWOA,F6,1095.4088598308367,286.03122876024514,1015.51875695852,718.982135309972,1897.0856251020837
NWOA,F7,1415.994714810114,367.9799596732669,1391.75,812.0,2181.0
NWOA,F8,1028.5729044612192,160.41192367630347,979.6408928806075,839.2164873574253,1616.8700513305553
NWOA,F9,913.5323764434287,4.486037642189254,913.2919710681995,905.1231605206024,921.6858577940201
NWOA-HC,F1,42278.875517217166,15403.54717562471,38507.4561437115,19476.123090436256,87247.98292904542
NWOA-HC,F10,1014.5722523181557,8.447701387304084,1019.9999999571359,1000.5583034514494,1019.9999999634616
NWOA-HC,F11,2177.871590848544,899.1892061254892,2108.305638047981,1233.4215509270784,4768.331601447224
NWOA-HC,F12,1209.5446473544532,4.251533688782952,1209.247602102977,1204.3136156522648,1220.7604080830033
